Plot	G_std	M_std	F_std	LUI
AEG01	0	2.05	1.99	2.01
AEG02	0	2.78	7.65	3.23
AEG03	0.06	1.81	0.93	1.68
AEG04	0.73	0.97	1.45	1.78
AEG05	0.75	0.97	1.73	1.86
AEG06	1.75	0.97	1.65	2.09
AEG07	0.25	0	0	0.5
AEG08	0.73	0.97	0	1.3
AEG09	0.51	0	0	0.72
AEG10	0	0.97	0	0.98
AEG11	0	3.02	1.77	2.19
AEG12	0	2.17	2.7	2.21
AEG13	0	2.05	2.83	2.21
AEG14	0	1.93	3.73	2.38
AEG15	0	2.9	5.65	2.92
AEG16	0.9	1.21	0.49	1.61
AEG17	0	2.05	1.47	1.88
AEG18	0	2.41	3.82	2.5
AEG19	2.16	0.6	1.35	2.03
AEG20	1.31	0	0.21	1.23
AEG21	6.13	0.48	3.85	3.23
AEG22	0.31	0.97	0.57	1.36
AEG23	0	1.69	0.42	1.45
AEG24	1.14	2.05	2.27	2.34
AEG25	0.4	0	0.19	0.77
AEG26	2.05	0	0	1.43
AEG27	1.14	0	0	1.07
AEG28	0.96	0	0	0.98
AEG29	0.83	1.09	0.4	1.52
AEG30	1.54	0.97	0.39	1.7
AEG31	1.14	0.84	0	1.41
AEG32	0.56	0	0	0.75
AEG33	1.23	0	0	1.11
AEG34	1.21	0.6	0	1.34
AEG35	0	2.17	1.39	1.89
AEG36	0.03	2.05	1.59	1.92
AEG37	0.07	2.05	1.74	1.96
AEG38	0	1.93	0.17	1.45
AEG39	0	2.05	2.03	2.02
AEG40	0.29	2.41	1.69	2.1
AEG41	0.07	2.29	5.02	2.72
AEG42	1.03	1.57	2.1	2.17
AEG43	0.9	0.84	0.66	1.55
AEG44	2.36	0	0	1.54
AEG45	0	2.29	0.15	1.56
AEG46	2.36	0	0	1.54
AEG47	0.56	0	0	0.75
AEG48	0.44	0	0	0.66
AEG49	1.14	0	0	1.07
AEG50	0	1.93	2.05	2
HEG01	0.28	2.29	5.39	2.82
HEG02	0.11	2.05	3.45	2.37
HEG03	0.13	2.65	4.26	2.65
HEG04	0.71	1.81	3.23	2.4
HEG05	1.06	1.93	3.83	2.61
HEG06	0.45	1.57	1.59	1.9
HEG07	2.27	0.24	0	1.58
HEG08	1.39	0.12	0	1.23
HEG09	0.56	0	0	0.75
HEG10	0.27	1.09	1.45	1.68
HEG11	0.14	0.97	1.06	1.47
HEG12	8.26	0.12	1.04	3.07
HEG13	0.4	2.29	0.13	1.68
HEG14	0.32	1.33	3.38	2.24
HEG15	0.33	1.21	3.3	2.2
HEG16	1.5	0	0	1.23
HEG17	0.44	0.12	0	0.75
HEG18	0.47	0.12	0	0.77
HEG19	0.44	0	0	0.67
HEG20	1.03	0	0	1.02
HEG21	0.45	0	0	0.67
HEG22	0.23	1.81	0.27	1.52
HEG23	0.63	1.09	0	1.31
HEG24	1.02	1.21	0	1.49
HEG25	0.99	0.72	0	1.31
HEG26	0	1.21	0.75	1.4
HEG27	0.05	1.33	1.9	1.81
HEG28	0.03	1.69	1.5	1.79
HEG29	0.14	1.57	1.22	1.71
HEG30	0.11	2.53	3.4	2.46
HEG31	0.55	1.33	2.04	1.98
HEG32	1	0.97	1.81	1.94
HEG33	0.95	1.21	1.33	1.87
HEG34	0.45	1.57	1.92	1.99
HEG35	1.5	0.97	2.23	2.17
HEG36	0.46	1.57	3.77	2.41
HEG37	0.6	1.69	3.98	2.5
HEG38	3.62	0.24	0	1.96
HEG39	1.08	0.48	0	1.25
HEG40	2.71	0	0	1.65
HEG41	1.03	0	0	1.02
HEG42	0.47	0	0	0.69
HEG43	0.68	0.48	0	1.08
HEG44	0.56	0.36	0	0.96
HEG45	0.57	0	0	0.76
HEG46	0.63	0.24	0	0.94
HEG47	0.84	1.33	0.36	1.59
HEG48	0.51	1.33	0.36	1.48
HEG49	0.05	1.57	1.53	1.77
HEG50	0.23	0.97	1.26	1.57
SEG01	0	1.93	1.6	1.88
SEG02	0.45	1.45	1.37	1.81
SEG03	0.58	1.69	1.37	1.91
SEG04	0.37	0.72	0	1.04
SEG05	0.17	1.09	0	1.12
SEG06	2.02	0.12	0	1.46
SEG07	3.14	0	0	1.77
SEG08	0.71	1.09	0.85	1.63
SEG09	3.09	0.24	0	1.83
SEG10	0.68	1.33	1.37	1.84
SEG11	0.61	1.09	1.37	1.75
SEG12	0	1.93	1.6	1.88
SEG13	0.32	1.69	0.34	1.53
SEG14	0.63	0.72	0	1.16
SEG15	0.02	1.45	0	1.21
SEG16	1.37	0.72	0	1.45
SEG17	0.8	0.97	0	1.33
SEG18	0	1.93	0	1.39
SEG19	0.98	0.72	0	1.31
SEG20	2.2	0.36	0	1.6
SEG21	2.65	0.12	0	1.66
SEG22	3.5	0	0	1.87
SEG23	0	2.17	1.34	1.87
SEG24	0	1.09	0	1.04
SEG25	0	1.93	0	1.39
SEG26	0	1.93	1.34	1.81
SEG27	0	1.09	0	1.04
SEG28	0	1.33	0	1.15
SEG29	0	0.97	0	0.98
SEG30	0	1.81	0	1.35
SEG31	0	1.81	0	1.35
SEG32	0	1.81	0	1.35
SEG33	2.29	0.12	0.7	1.76
SEG34	1.27	0.36	1.56	1.79
SEG35	0.96	0.72	1.56	1.8
SEG36	2.29	0	0	1.51
SEG37	2.41	0.24	0	1.63
SEG38	2.36	0.84	0	1.79
SEG39	0.9	0.6	0	1.23
SEG40	4.33	0	0	2.08
SEG41	3.28	0.12	0	1.85
SEG42	5.08	0	2.94	2.83
SEG43	2.71	0	2.43	2.27
SEG44	2.12	0	0.4	1.59
SEG45	2.01	0	0	1.42
SEG46	4.66	0	0	2.16
SEG47	2.62	0.12	0	1.66
SEG48	3.11	0.12	0	1.8
SEG49	2.32	0	0	1.52
SEG50	1.25	0	0	1.12
