"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Ver_cha","Rum_ace","Fes_ovi","Phl_pra","Pha_aru","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp"
"Poa_tri",0.0971901536559903,0.0971033035398425,0.0921407430448862,0.105097358741142,0.0970087597586023,0.116666171967373,0.106463796288209,0.102418713905522,0.125097085567623,0.130343710843346,0.165228203485222,0.126262598551238,0.208069676066491,0.137436455239019,0.192460043084031,0.180117547100917,0.307587262659682,0.336585981924094,0.244704039977135,0.285443376040676,0.316932181360948,0.264473518724445,0.183421852100024,0.235952752597196,0.236547111360365,0.224804068634122,0.315682400655987,0.288691563012935,0.393922371524773,0.267294340699381,0.274110553588531,0.442449076636691,0.432255996753063,0.266970546038248,0.514240032493168,0.442820649663828,0.835255237431174,0.452623091880767,0.419189474533277,0.293987863561502,0.405238411106279,0.316669850713698,0.620927592851662,0.614317537475288,0.688294609344141,0.463951677192351,0.471904983835035,0.275118000464102,0.470865790415319,1.00833317562416,0.490740733068915
"Poa_pra",0.0984636366550632,0.0979302709739094,0.0952722606087722,0.10676879849449,0.0982388669768882,0.119537334584462,0.107831919246541,0.103581775089461,0.129697834593498,0.131000819684541,0.163310880697718,0.129068319090941,0.201222601614061,0.135211082107368,0.196533376612525,0.184778405474559,0.298654034593199,0.339195557990074,0.239849273173866,0.2967117480806,0.334401947584171,0.279752883476838,0.191212510080694,0.2469296699045,0.231344499233967,0.218019402396456,0.295668244747315,0.310769457700425,0.392584276009792,0.305120705485712,0.28062685134701,0.480857498679083,0.462246800371215,0.276580262739164,0.504460776136984,0.484672133000222,0.822431120432756,0.477913552889089,0.418526361226235,0.278241528527326,0.391164607959702,0.311424955357761,0.603742794411529,0.601383164956349,0.682953368802071,0.467777277379859,0.454992142112312,0.259360001863082,0.524958058313346,1.02847654403484,0.519203722875447
"Alo_pra",0.0890380976888295,0.0890542570338792,0.0857353453625706,0.096687679235341,0.08790044221089,0.108113189911643,0.0969587751544838,0.0948339005906389,0.117719662734174,0.120386888308902,0.150522549308703,0.115222176782958,0.181274483801632,0.12614650202823,0.169885546867426,0.161408499496227,0.27698428764376,0.297437450449121,0.221528756917731,0.264407767345035,0.289724717142133,0.236394809136409,0.164160782271548,0.231305135483042,0.21677171817123,0.194891676501945,0.280009362028052,0.282757214411857,0.341127293699143,0.247073151899854,0.238854222654262,0.418099543661274,0.417393128660872,0.255646676949815,0.46491272559644,0.402305131637007,0.748896873488877,0.410797680332078,0.370545918263431,0.258425892691913,0.37084796950882,0.274600752514975,0.545957242766172,0.545598243033719,0.605738362218477,0.404342383552047,0.407018429506289,0.238343244498619,0.51592688307089,0.930921328830922,0.467577286762666
"Dac_glo",0.0830901226621183,0.0824035519680906,0.0776606681684843,0.0892240299290186,0.0831177366053462,0.098451344105306,0.0909850056692055,0.0869277946525258,0.105003321588613,0.109938426457368,0.139733812497221,0.107772530524206,0.180384279354719,0.113943249525843,0.166348163552173,0.153858345385779,0.260363037878587,0.289575161594064,0.20654288461653,0.238740069412897,0.267289297222861,0.227079963764999,0.157964492030698,0.191127328742254,0.198780701319269,0.194717829110821,0.267856913111874,0.23368656066641,0.343803025015181,0.226477380165743,0.240483451442929,0.368346533481626,0.351158353861197,0.219361224936483,0.433475122934234,0.379657143494895,0.72545751688328,0.384956262814208,0.362355165101107,0.252691766953848,0.343239539238499,0.274540967338421,0.535235728283069,0.524109331541809,0.591098415035396,0.404505372955631,0.409331292201551,0.237635816960399,0.364796780380617,0.84702046977028,0.409020765152117
"Tri_rep",0.0945440580034503,0.0942318136997366,0.0887971839273572,0.101903541859946,0.0943587010058564,0.112571548379696,0.103467013680679,0.0993794109323805,0.120390949145542,0.126105795750719,0.160452183050955,0.122517804006632,0.204601399498736,0.13253835025386,0.187839441322442,0.174953598393005,0.299647834942534,0.327900433674226,0.237524878826679,0.273730924751011,0.303987805297862,0.256288294932778,0.178465008442743,0.223621400882334,0.229425718905456,0.220810174069081,0.309764081483949,0.272339857361255,0.386906911604959,0.25434645630073,0.268107872185462,0.421009794959761,0.40927398411289,0.254810794668922,0.499527114358277,0.425902552518975,0.820269478144991,0.436457907994202,0.409409082181911,0.289841824692409,0.395055330196104,0.310538373578983,0.609026908083567,0.599348593458167,0.671354757904835,0.455144069921083,0.465470395873846,0.272584860435137,0.434618108100752,0.969970983400916,0.47051382188982
"Tar_off",0.0808725381864426,0.0808312370092821,0.076748921469787,0.0874885039558239,0.0807107941454898,0.0971728945113207,0.0885893320676174,0.085263637461859,0.104241019295327,0.108551195347741,0.137546245162921,0.105083860636173,0.172893060681855,0.114523774358285,0.160027967190568,0.149865220657705,0.255980917335009,0.279929133226699,0.203701290299097,0.237897397690083,0.264034383504412,0.220056124496627,0.15257802382118,0.197071969422352,0.196979217313036,0.186810758510632,0.262545017410146,0.241172866061302,0.327278579854608,0.222778949907782,0.227778554790093,0.369036783519162,0.360925135007675,0.22273944986905,0.428093544652204,0.368689979735121,0.694280835098286,0.376869552060997,0.348527727983328,0.244356050741237,0.337280706519186,0.263157600988092,0.516190989351921,0.511025137111686,0.572402262404545,0.3855336563009,0.392028109680955,0.228551247025924,0.394753776623485,0.840092624162193,0.409172491612707
"Lol_per",0.0860311046140557,0.085746132829151,0.0829432356487751,0.0932754891891258,0.0858861810547827,0.104336186070131,0.0942982651396762,0.0906162875955443,0.112702449459047,0.114963404705217,0.144010046251282,0.112507635948772,0.178277590256567,0.119536656051492,0.171136952020565,0.160797638095534,0.264573155806899,0.297179813439934,0.212163106085777,0.258120725525494,0.289962772797695,0.240966821665332,0.165281347764055,0.214560011287552,0.204686924782567,0.193069992152721,0.264231652694943,0.268194094790596,0.344263497584036,0.257774584873933,0.24459132915519,0.412730701917765,0.398902669873596,0.240825681909166,0.445573810812979,0.413986880115161,0.724283885199215,0.412833840162506,0.36774439621901,0.247678340948116,0.347298824999945,0.274674294071985,0.533970516749032,0.531540234780995,0.601539741692671,0.408555719164281,0.402651737577276,0.230535470390748,0.449394000162784,0.900681713654417,0.447830109400916
"Arr_ela",0.0819275904991388,0.0823900004480353,0.0778100769477352,0.0889976884755644,0.0814207639309557,0.0989825198774425,0.0894901835647838,0.0869804951260019,0.106828053049064,0.111326963769309,0.141117815966989,0.106156746457932,0.174082096321891,0.11914214884239,0.159546575482766,0.150451733581195,0.263673695974012,0.280247618077926,0.209092461823388,0.242486876074869,0.26427135466326,0.218669390045254,0.15227633209462,0.207818896756239,0.204228282030152,0.187658719242011,0.272884613571698,0.249955963451678,0.325510747857165,0.21852383262807,0.223964773409534,0.374612302146095,0.373973806115348,0.231883605109806,0.441176764530725,0.364047080926834,0.702863708066707,0.377510301480757,0.34842004155783,0.250334009174307,0.349516300816437,0.262717909131131,0.52251437388563,0.520010791543045,0.57470578393748,0.383369938142738,0.395402491080388,0.23488100820108,0.429308195847115,0.857008975327068,0.421589321380015
"Fes_rub",0.0623583239864945,0.0617924522933096,0.0575065821239984,0.0667266305816852,0.0621758387885601,0.073094822896187,0.0680423342901587,0.0652548833181752,0.0778634769212184,0.0821824242848637,0.105086630842377,0.0804452738524569,0.136906684799868,0.0852257224152164,0.124704497382641,0.114881726165737,0.196914461472555,0.216292309235682,0.154780464885761,0.175432489649553,0.195202551702335,0.168113849827452,0.118152111862514,0.140437842347847,0.149683144983992,0.147404328808436,0.205053755842621,0.169849058138637,0.25922944862291,0.162092248814604,0.179060937361237,0.267163306340577,0.256097391925645,0.161945311641734,0.326442569912081,0.276434013119266,0.551525658604567,0.283500908668325,0.27143237197657,0.195249018764347,0.260668108041792,0.206757927518441,0.406463416021572,0.395419950128548,0.443001195125414,0.305205367332685,0.313386935044644,0.185294558695411,0.261992111444806,0.624847731495114,0.303273405810325
"Fes_pra",0.070288179938492,0.0695902743728516,0.0682521715401305,0.0759966603586221,0.0695929103406827,0.0851592014760281,0.0766199885751566,0.0741063298866818,0.0933300451175204,0.0929375446708015,0.114558712719629,0.0919318309673757,0.138751514847112,0.0945602015288731,0.138498712073373,0.130823280296646,0.207914004622732,0.236626222842055,0.167275268541485,0.210663670628118,0.237156560402033,0.199778465660637,0.136961498012435,0.179365422888445,0.161994124760042,0.1499943928074,0.203956890546094,0.227516865494217,0.272801413395647,0.221900516005817,0.195762285487854,0.347091033790514,0.336789488361751,0.199190638009388,0.352364326386582,0.348533956065586,0.57606112130744,0.340069356721499,0.291975199629458,0.192701677714275,0.273072314086759,0.215156881391383,0.419104100280557,0.417386244633543,0.473233162010205,0.327804830627049,0.314169510941498,0.179167772946224,0.400987255866328,0.72468764371337,0.379532552241983
