"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Ver_cha","Rum_ace","Fes_ovi","Phl_pra","Pha_aru","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp"
"Poa_tri",0.0582172530548941,0.0596578148293411,0.0539118996137166,0.0621372350840723,0.0569330236823858,0.0646086421961726,0.0601401272455816,0.0645319083469625,0.089252654766362,0.0739211236651344,0.085914523085067,0.0744459792528998,0.129852907713412,0.109804765757196,0.119695686993234,0.0979398270640328,0.172069377645368,0.196854378612755,0.140669308904091,0.171709323025086,0.174563372492597,0.159761968629901,0.12583587522467,0.166602710926387,0.145932408119043,0.239916359329104,0.228443624173393,0.207402120620982,0.252611759742707,0.196867335933389,0.274116479976907,0.182073403163832,0.421669537500438,0.162946642149162,0.356466704412362,0.306500769066329,0.572207751166986,0.297510653034568,0.201033570418536,0.189038969256693,0.382781675773319,0.137994096252874,0.321031963584986,0.422866625678218,0.470742536337502,0.335302673895463,0.257696720241225,0.384406030552853,0.223258432876537,0.539768146688282,0.423585907561978
"Poa_pra",0.0593462788460968,0.0599703941541522,0.0554963580482512,0.0623170277230356,0.0575204850351189,0.0666428676588367,0.0606068550553836,0.0638058196711276,0.0918502098228023,0.0739980842686923,0.084985210380547,0.0742951458162942,0.126585865883596,0.110360862990685,0.123549481216163,0.100007822801113,0.169466683879709,0.198967787245693,0.13498959281126,0.181787265568606,0.181023822025508,0.167210070887622,0.129223562391785,0.177091089754983,0.144842466408652,0.233040304513825,0.211170056041414,0.223000157053913,0.245354804612541,0.219344015396787,0.27109941531556,0.19297586650435,0.454358692895134,0.16418406136657,0.34852853018967,0.330898594040714,0.577626419087965,0.306217500950301,0.199099498829009,0.169008010827096,0.364374618075822,0.134779317833183,0.306680576172027,0.412532708169444,0.465608738979063,0.334380201668521,0.246159870208467,0.370194781090265,0.24982761200758,0.545441706265876,0.442119676476645
"Alo_pra",0.0528249374733918,0.0540952397681934,0.0489056756174462,0.055785633506113,0.0509209463021515,0.0593316081358032,0.0545798961414119,0.0575480944197584,0.0817303863667378,0.0671589629603767,0.0777838979360198,0.0661653848773273,0.113521983210698,0.103500550182192,0.108045037710415,0.0865936684966851,0.153417349509775,0.174487746036284,0.124876676921966,0.160601158224593,0.157487880603967,0.14462089763279,0.110889117663389,0.16259046783767,0.129842145544989,0.209806215228382,0.200664183845213,0.202429421356382,0.217242507433803,0.177515781954136,0.235172646815454,0.17050101731067,0.412103396409682,0.150862366569149,0.320298064229091,0.282969012056308,0.525588500950008,0.269504782950236,0.175239301857664,0.159906218785622,0.337350406727502,0.119309334755387,0.276980443771461,0.373651989117551,0.415038415280687,0.291417812044976,0.221381330275827,0.333549527574525,0.247126785933016,0.489578067637403,0.400881691643428
"Dac_glo",0.0497780454872166,0.0506979585215431,0.0457833056948837,0.0531948582408248,0.048894320315399,0.0546890740500543,0.0510747963028813,0.0553745579429069,0.0754107328387861,0.0628596385726587,0.0729173341188403,0.0641374317562408,0.112432504263483,0.0900359457686137,0.102115597334033,0.0842732202581703,0.146554295946997,0.169059120647481,0.11948170303043,0.142792390380764,0.147851724039158,0.135589457039422,0.108675337998737,0.134974697124481,0.124654988224957,0.207356821170889,0.194353887749567,0.168689305760956,0.220224289987941,0.168563604533897,0.241015442465553,0.152248293898402,0.341149889259182,0.13613637133622,0.30085081562709,0.25967607939778,0.492747419880432,0.252512568639606,0.175422982844929,0.165862227467392,0.329703571643474,0.119838744825544,0.279822891468757,0.362200855192163,0.402706478192827,0.292141201083048,0.22404534275871,0.33392131363665,0.175375691669061,0.457159209129581,0.353929321749264
"Tri_rep",0.0565584248140615,0.057941527400415,0.0521459643835973,0.0605626303297012,0.0554491646271452,0.0623548993172634,0.0583473766771226,0.0630665287929902,0.0862414132216391,0.0717344968519838,0.0836088210719718,0.072665769812354,0.127507766145152,0.105195125863675,0.116036694409316,0.0954871582970947,0.16764513894485,0.19160649951852,0.137270681286239,0.163851054070967,0.168207761497015,0.154273092258433,0.122705825021356,0.157613178360911,0.142347193387488,0.23532402545075,0.224670460270264,0.195979889945164,0.24867540128943,0.18877299540806,0.269866202112527,0.174234198298724,0.398134885484998,0.157037466022159,0.346510643268449,0.293897722332906,0.557731784840404,0.28794697904922,0.197154906499638,0.189140484293749,0.37593008734771,0.135549336362958,0.316772676162867,0.413584889194129,0.458987572014171,0.329149379010416,0.254498808559651,0.380483547661596,0.207231027892136,0.521419585630092,0.407408549304389
"Tar_off",0.048443647541019,0.0496527826973201,0.0448785569603355,0.0516896908568652,0.0473575003213565,0.0538048747093052,0.0500569477397149,0.0536667054718367,0.0743253566998645,0.0615283177672062,0.0715023217023242,0.0619080614747372,0.107918347046438,0.0915812218358247,0.0996213507787791,0.0814477716402847,0.143161393449128,0.16374232696926,0.11702057238123,0.143184299861458,0.145355853633059,0.133016915348994,0.10463801513064,0.139155150882359,0.12139587326111,0.199408319679157,0.189934277946092,0.173216437012246,0.209838330208971,0.163925113429841,0.227654323352723,0.151785760859593,0.352222856639887,0.13577307834574,0.29670632665362,0.255358439889238,0.476041772292623,0.247680325738638,0.167046107939589,0.156849434879765,0.31820313802883,0.114656926379737,0.266661307946508,0.351664605789749,0.39153664106729,0.278613170300202,0.214040658708997,0.319313560413485,0.18706255019986,0.449425635147117,0.353085333764537
"Lol_per",0.0517865355216248,0.0525653846356387,0.0483450528223992,0.0546082377319727,0.0503101251730138,0.058053419619923,0.0531102196572833,0.0561678950349228,0.0799262288813191,0.0650182369173207,0.074846794306079,0.0652703525715769,0.11187935925103,0.0969673126262161,0.10736589380417,0.0870863811481976,0.149494418638746,0.174161037137129,0.120106174318634,0.157374357479836,0.157656129827038,0.144709538692077,0.112295870996755,0.153106953248902,0.127290099421327,0.206391789877091,0.189590734378282,0.192499625243263,0.216997097541749,0.186417944103446,0.238496337344784,0.166751415532349,0.391354517797251,0.144073124617217,0.308154625070683,0.284201040029011,0.505475488975577,0.266311698523437,0.175356170347772,0.152923583566692,0.32478688707916,0.119086465217587,0.272636080932525,0.364651138533214,0.410233973263893,0.293188329306503,0.218590788371376,0.326893193380543,0.213180963226866,0.478826764994317,0.382763389966393
"Arr_ela",0.0488248328821715,0.0504909320924981,0.0451146399719248,0.0522732499188301,0.0476435385722899,0.0544624801288312,0.0507979975096649,0.0542636426820712,0.0755705025955621,0.0625985474701947,0.0731715187031167,0.0621645909832892,0.108641371533682,0.0957903734257703,0.100214022675984,0.0813503171833984,0.145737986398462,0.164140700888323,0.119929865480669,0.145895148691761,0.14556911040294,0.133765443713925,0.104169372561704,0.145803149001283,0.123294610601849,0.200565553834103,0.197108183008352,0.178953916914549,0.209844625092078,0.160344818345809,0.225497352240513,0.154740429034322,0.366093260954135,0.139987763807285,0.305321726178779,0.255741433742759,0.483625869982412,0.250989494538365,0.165910526886406,0.160103904744366,0.324400332044875,0.114638408052297,0.268223812721275,0.35759582650244,0.395345952005249,0.277559173377421,0.215729269464068,0.324908456756283,0.202891621438004,0.455362843648154,0.364563082909467
"Fes_rub",0.0372061922673718,0.0380196303876868,0.0339594384137527,0.039995815571366,0.0365995232516735,0.0405374367603105,0.0381873948841331,0.041813380320265,0.0561013659675228,0.0469847802208731,0.0550291633765621,0.0481230346042662,0.0852149211954526,0.0669348369959517,0.076127518866422,0.0631631179669346,0.110349842863921,0.126277779593078,0.0900700361612715,0.104165564015302,0.108764901054453,0.100366348949779,0.0813414297209007,0.0986466102230364,0.0940508046527477,0.156733661845352,0.149124377679462,0.122641061018562,0.166690297450825,0.121716836184471,0.181759541186162,0.111578045186883,0.248090375977759,0.101452028587739,0.226392014314693,0.18939043099854,0.370398212328076,0.187892846517482,0.131811785848941,0.130431087296695,0.251128856175325,0.0904907037261382,0.2135576017999,0.274178774446016,0.30223431933738,0.220571180949447,0.171589756186985,0.258942872049557,0.126986907344521,0.33820752097925,0.264188446111827
"Fes_pra",0.0421413419324537,0.0423241732772869,0.0393387397980699,0.0438622177417498,0.0404535555085265,0.0473221412030303,0.0427838814017544,0.0447217032414853,0.0653849487256272,0.0520341667341346,0.0596611580215489,0.0519519732188445,0.087556408988859,0.0785689123422612,0.0878340938010666,0.0704858703889284,0.117960960790238,0.139137933812148,0.0929755342916826,0.129790972169755,0.127508826622936,0.119116465728323,0.0912536778656435,0.128961408608354,0.101465948524612,0.160981230755867,0.14431910041664,0.162886717279354,0.168503903321297,0.157329081090185,0.186667021880304,0.13832994998969,0.333121995584668,0.116103111788107,0.242338829790714,0.237700562020702,0.408425313529948,0.21692206529262,0.137978921193278,0.114030767983244,0.250169040578164,0.0928808495053299,0.210566627631355,0.286101296394995,0.322583801410177,0.232982067103632,0.168937589019685,0.257110762581927,0.193797261988977,0.381411799129501,0.321754874467376
