"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Ver_cha","Rum_ace","Fes_ovi","Phl_pra","Pha_aru","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp"
"Poa_tri",0.0984409174554024,0.0970805414919481,0.0919523817876008,0.105903840885973,0.096934861193557,0.11695339424685,0.106553256199718,0.10265989736554,0.125029662752849,0.130571186586563,0.164809611017925,0.126933933315472,0.207577299840171,0.137056611739693,0.191852329564999,0.180229806017346,0.308915388405453,0.33552668234193,0.243906514407231,0.285325156182295,0.316387122831441,0.264687481403147,0.183293991435195,0.236362599716896,0.236220000193944,0.223763577348222,0.313998539477436,0.288524846264954,0.392516532478627,0.268059531238745,0.273214986199686,0.441981510120199,0.432380792537054,0.267003089414817,0.512111511585731,0.442546076388856,0.833407386742901,0.45159639695434,0.421568509647303,0.293057401140727,0.405059050149136,0.315698900462145,0.618563017219599,0.612062860862568,0.686098439570755,0.46243534480302,0.470402273078069,0.273581162819681,0.473709521834876,1.00835719109555,0.492740477440748
"Poa_pra",0.0991337917919919,0.0970754119546171,0.0943660608521358,0.10673138062774,0.0974925839787312,0.118757552880553,0.106945750135774,0.102927334923273,0.12851958188569,0.12963902339978,0.1609683967453,0.128945161748539,0.198375268938442,0.133004308250021,0.194866668829269,0.183710699366474,0.294770026103038,0.335231728941352,0.236024232326832,0.294007357896154,0.331333168325818,0.279118615728103,0.190604339744356,0.244631560055104,0.22789604169648,0.214631097929806,0.290482174432768,0.307805751759052,0.388462770161947,0.306652745299018,0.27809476567047,0.478372952218754,0.458766181935653,0.27375793174642,0.496507752503488,0.484282613401671,0.813037949373117,0.474905533816189,0.416066127723856,0.273651338791254,0.385227618080172,0.307528283916947,0.595519644841533,0.592367929420059,0.673713370801838,0.463703596920018,0.448775828734907,0.255205617448104,0.521351450543089,1.017493948913,0.518259430521895
"Alo_pra",0.0899322208651033,0.0891309459790857,0.0856012684240894,0.0972286550131968,0.0879783301374347,0.108292544400122,0.0970007166917357,0.0950568734625014,0.117511079007131,0.120438335846033,0.150561703811855,0.115811829594133,0.181697918162182,0.126270545693675,0.169799764017811,0.161475876191085,0.277745221201514,0.297393712020246,0.221639410069709,0.264161793747055,0.289163654822066,0.236529774845913,0.164289312422617,0.231122657659328,0.217028505905284,0.195114843530727,0.281007728354874,0.281827579405576,0.341369325178162,0.246660163091985,0.238677151043029,0.416972952126388,0.4164086168533,0.255591179407449,0.465175796579033,0.401299584927821,0.749980288813509,0.410188326678851,0.371438968140895,0.259167512130066,0.372132626728138,0.274908220575323,0.546820378604577,0.546053360342032,0.606097692700495,0.404519290871534,0.408046961220781,0.238953989012394,0.513424503537126,0.930852144627924,0.467843317376397
"Dac_glo",0.0845774927986347,0.0828482402027696,0.0778729195156678,0.0903842490066278,0.0834804538764096,0.0992108134553712,0.0916578601386712,0.0875366425006388,0.105561180454329,0.110901154666121,0.140109717917927,0.108839930183671,0.180942803030848,0.114260212311166,0.166666448634361,0.155025202166132,0.263853306967126,0.290177588894692,0.207057413954899,0.24004443953128,0.268147809167035,0.228433618608986,0.15847743003504,0.19252454475805,0.199948060637349,0.194852620091144,0.267934715906252,0.234671203246855,0.344361568261852,0.228050322058499,0.240866832978338,0.369744273243473,0.35354764993003,0.220483501228286,0.434045474143564,0.381342627408615,0.727477859904134,0.385892263837544,0.367648815092399,0.253331633815348,0.344535786983622,0.27541061454051,0.535904386680533,0.525157353537342,0.592303805774258,0.405179401070482,0.410286630479078,0.237655910535988,0.369536464640311,0.851706473649972,0.412790467201497
"Tri_rep",0.0956681464503159,0.0940992781441623,0.0884598789286049,0.102560146962369,0.0942496371055541,0.112672770180999,0.103581846736986,0.0994455486230055,0.120121559751445,0.126230934221885,0.159756042340135,0.123052443645018,0.20426507703739,0.131700913316256,0.187356733370453,0.175127422618952,0.301149743878871,0.326983867095147,0.236342010506353,0.273129758602996,0.303154468119396,0.256621150586339,0.178294766061062,0.22282124386109,0.228751407724154,0.219913013478562,0.307423374491375,0.27076369154274,0.386082883823033,0.254999107587431,0.267850772183594,0.419566766331882,0.407641624368476,0.253782685844148,0.496366891707942,0.425963080620234,0.818853252109362,0.435161234926468,0.412827717338351,0.288759150050246,0.393937446655919,0.309949651085937,0.606545903348526,0.596675711428772,0.669220734463042,0.454197835171308,0.464225611128963,0.270858876812018,0.433726073066866,0.968318948215825,0.471071291748756
"Tar_off",0.0821947233499627,0.0810944097657011,0.0768585565103416,0.0884645859985743,0.0809222947450112,0.0977507447686895,0.0889564381234707,0.0857691576061405,0.104550220449607,0.109114370524049,0.137692431151028,0.10600473428474,0.173062811816768,0.114637483241452,0.160040272298122,0.150439818692166,0.257945876297079,0.27996361367899,0.203764786168061,0.238615395460743,0.264446668192796,0.220929678970233,0.152978890574539,0.198178716887968,0.197417820362238,0.186569936039149,0.262139222496433,0.241941979147048,0.327155315761388,0.224093519332329,0.22772493085419,0.369908167835693,0.362348936322067,0.223606272407371,0.42788078594539,0.369584591888319,0.695124211108253,0.377255819893191,0.351550053292571,0.244465633303274,0.338408174598096,0.263195838985674,0.516012647903567,0.510923013020477,0.572480984354903,0.385513235413334,0.392106520822838,0.228102256295858,0.398776793087344,0.843025421049654,0.412320226915773
"Lol_per",0.0874979169166754,0.0859678584281226,0.0830384782763748,0.0942606547165133,0.0860917957273403,0.104842143290011,0.0945497353370703,0.091119232381536,0.112888236666072,0.115265357552625,0.143890454151943,0.113493779953867,0.17801105690588,0.119334477645805,0.17108290778862,0.161277952051868,0.265115205008012,0.296754781747732,0.211745637123965,0.258484953887276,0.290103954742399,0.241820633383803,0.165845752864152,0.215393235540621,0.204603738703297,0.192426234122736,0.263452407814257,0.268876155702741,0.343764651763182,0.259597819225118,0.244338095756455,0.413645892160172,0.400162263882465,0.241390139038634,0.444499949748098,0.41525033340485,0.724443386337639,0.413213138253638,0.369795422375624,0.247212969385514,0.347482644553641,0.274294589488259,0.533231461052939,0.530438264324778,0.600489743121568,0.40838147691011,0.401917217408964,0.229770253980275,0.453057312421349,0.902132446527235,0.451203945129343
"Arr_ela",0.0829354484482292,0.0823626984198852,0.0776394204970638,0.0896069620270032,0.0814122340456568,0.0991480083101382,0.0895569945321993,0.0871831347482802,0.106634410002835,0.111340844280333,0.140804014883687,0.106759521013474,0.174107186113272,0.118777658872801,0.159320061853192,0.150510504728424,0.264462883015346,0.279824621832408,0.208486417547959,0.242038940599716,0.263777380150943,0.219049209177832,0.152409265206194,0.207375576807678,0.203765770918571,0.187300633162245,0.271929027433126,0.249033917509417,0.325198801911594,0.218990748518623,0.223740811522559,0.373522349111385,0.372811104034311,0.231420127360552,0.439589194385862,0.36373042644128,0.702520356693056,0.376777204802905,0.349978145699366,0.250126092361151,0.349801758789378,0.262442578044698,0.521577163817153,0.518678688905968,0.573866714299724,0.383043046479658,0.395286763840693,0.234183083275818,0.427828450513321,0.856114036105028,0.422352813142238
"Fes_rub",0.0634493796537585,0.0621877773088175,0.057709971522247,0.0676394039212162,0.0624609358340369,0.073710917860189,0.0686206820710119,0.0657424927480265,0.0783846674713314,0.083066345105179,0.105509234566325,0.0812431088858024,0.137499854697679,0.0856613675002465,0.124971782658094,0.115848316615352,0.200446046658059,0.216913058999405,0.155434056562168,0.176630646200892,0.195951537198918,0.169168301840948,0.118523984517523,0.141751410044768,0.150974057418719,0.14765243709855,0.205655832654126,0.170833186737254,0.259758208120358,0.163092902661258,0.179261763232599,0.268312001786086,0.258445108942473,0.163077723647786,0.327448241299064,0.277568155331433,0.553360612520392,0.284284392084805,0.275700687771217,0.196151429691803,0.262050328398034,0.207556427400015,0.407294700148566,0.396682673823474,0.444273171174385,0.305749399930506,0.314580440106327,0.185598646244199,0.266397555893242,0.628806264649253,0.30628852276013
"Fes_pra",0.0703964794072953,0.0688574773723592,0.0673102835375488,0.0756793418578413,0.0689706210692119,0.0843381707157115,0.0757820505360781,0.0733142930533956,0.0919132193164191,0.0918457803627173,0.113295483099154,0.0915219090438005,0.137927285196549,0.0935392790953512,0.137390049312706,0.129850686489713,0.206222540762784,0.234841788812402,0.165508724275455,0.208431105125681,0.234703171308846,0.198359570101464,0.135842333110238,0.176361251893356,0.160295620091385,0.149074854385776,0.202524780352059,0.223180224916589,0.271304038451886,0.220292110089832,0.194568739160918,0.342775276593461,0.33133824866332,0.196242713175871,0.348703414675007,0.345554414386963,0.57109679809503,0.336958375888231,0.29076164988118,0.191123460578732,0.270414160374847,0.214012698515325,0.416260028192452,0.414015192553061,0.470060054831039,0.325696207045102,0.312424827233734,0.177890734982802,0.389025266733642,0.717652749641716,0.374450503833496
