,Intrinsic
Poa_tri,201.3330433
Poa_pra,9.169139268
Alo_pra,27.70190677
Dac_glo,20.7011977
Tri_rep,24.60605638
Tar_off,37.72962952
Lol_per,9.557589014
Arr_ela,10.58742316
Fes_rub,38.06603843
Fes_pra,10.90388499
Tri_fla,45.24974756
Ely_rep,14.66121761
Tri_pra,2.570001361
Bro_ere,23.9909008
Ran_rep,12.55774982
Bro_hor,12.1074838
Ran_acr,20.37040374
Pla_lan,6.142675445
Ach_mil,2.689491907
Gal_mol,2.508977868
Her_sph,3.711097263
Ant_syl,11.43446102
Hol_lan,0.530120202
Hel_pub,1.298721704
Ant_odo,16.96869439
Bra_pin,1.475198154
Car_hir,3.252193119
Rum_ace,6.13264922
Fes_ovi,2.891726737
Phl_pra,1.954756299
Des_ces,11.11800561
Agr_sto,21.58057877
Cyn_cri,1.320181237
Cir_ole,12.14274254
Cer_hol,0.94346171
Pla_med,2.031942043
Cre_bie,8.64732231
Urt_dio,3.989754995
Thy_pul,1.855814321
Lol_mul,4.16968504
Cir_arv,10.99043161
Lot_cor,0.181132345
Ran_bul,2.359133581
Tri_dub,14.77484606
Med_lup,0.009617556
Leo_his,12.69653579
Car_car,8.623095759
Vic_sep,9.875941135
Pru_sp,1.467256408
Rest,1.494405917
