"","Intrinsic","SiteH","SiteS","LUI"
"Poa_tri",0.0663813262925535,0.0117691921335814,0.0129977005502484,0.043688481515496
"Poa_pra",0.0667150788330653,0.0139301793606489,0.0153285140500767,0.0439511389520255
"Alo_pra",0.0618252733765463,0.0182162195235747,0.0193245782332727,0.039850672521196
"Dac_glo",0.0568422064048789,0.00887006213682618,0.00986088829010459,0.0373962897574144
"Tri_rep",0.0644054587721397,0.0105326856789439,0.0116688504874954,0.0423612192188187
"Tar_off",0.0554423869326195,0.00995593964534725,0.010987333892632,0.0364852498046679
"Lol_per",0.0589689946903774,0.0118571760786402,0.0130559443778625,0.0388486172663098
"Arr_ela",0.0562041555366652,0.0114323317654951,0.0124763344394914,0.0368107837737769
"Fes_rub",0.0426133261736529,0.00639657013138815,0.00710167042678783,0.0279579006781652
"Fes_pra",0.0475717866544635,0.0117940528624019,0.012784525970088,0.0311064732710127
"Tri_fla",0.0358785354347513,0.00580309198241495,0.00641821120889319,0.023560041305868
"Ely_rep",0.0416484831046182,0.0061323958233876,0.00683676121961467,0.0273635034609779
"Tri_pra",0.034555152822345,0.00580516669231675,0.00643054259297157,0.0227486045650124
"Bro_ere",0.0425701907896862,0.0122676264246332,0.0130633538964537,0.02752410753751
"Ran_rep",0.0297706603239598,0.00426445487906134,0.00475236131061466,0.0195226039754969
"Bro_hor",0.0346283911405485,0.00680106888920324,0.00749176049513009,0.0228103041063012
"Ran_acr",0.0208809404074062,0.00384780703520926,0.0042348651677354,0.0137252298028511
"Pla_lan",0.0192282627518692,0.00349034097000206,0.00384898485510762,0.0126509843610017
"Ach_mil",0.0259802764502347,0.00421164704655671,0.00465636383349869,0.0170573260534879
"Gal_mol",0.0202016237908784,0.00327342024787094,0.00362439708597773,0.0132769247949266
"Her_sph",0.0171646105097018,0.00282645651330244,0.00311315242474517,0.0112448163947661
"Ant_syl",0.0193058649623795,0.00340553786702835,0.00376250577484557,0.0127074913094921
"Hol_lan",0.0219291132114955,0.00391134616503772,0.00430532704567257,0.0144004568915486
"Hel_pub",0.0272327814305471,0.00739065603954554,0.00794835665630952,0.0177179173023055
"Ant_odo",0.019709576916763,0.00343596889364907,0.00378513647539617,0.0129408462274871
"Bra_pin",0.015641642735486,0.00271811097578188,0.00298056580190591,0.010230842560759
"Car_hir",0.0215057955448119,0.00293695638685837,0.00326613061684276,0.0140455477064496
"Ver_cha",0.021791936263013,0.0062839417679847,0.00668950124613606,0.0140865336402733
"Rum_ace",0.0120589674096583,0.00288184725364622,0.0031391637727981,0.00790495122580478
"Fes_ovi",0.0159184216465757,0.00356039033097332,0.00389739847410508,0.0104623279204977
"Phl_pra",0.0178955927317304,0.00306896804564738,0.00337131307640011,0.0117167104180311
"Pha_aru",0.0185726343853273,0.00474400360698618,0.00509724366917751,0.0120802966255246
"Des_ces",0.0132419152648698,0.00443774900694144,0.00463909275390546,0.00839797941343541
"Agr_sto",0.017036745173311,0.00500489052382674,0.00534868778271114,0.011029960689791
"Cyn_cri",0.0152129771271623,0.00284432529540881,0.00313709195209244,0.0100182793025655
"Cir_ole",0.0131255508261285,0.00203193428633576,0.00225095629173754,0.00861220649806349
"Cer_hol",0.00695570891619619,0.00122810712593854,0.00136675672342429,0.00459766558934584
"Pla_med",0.00960898128310878,0.00186440578012879,0.00203657936329227,0.00628835713113346
"Cre_bie",0.0127372365801812,0.00172158436318339,0.00191612957155219,0.00831654330778194
"Urt_dio",0.0195432796980432,0.00293062908956144,0.00326796282520191,0.0128548648272114
"Thy_pul",0.0113030837631946,0.0015559124504217,0.00173259235796828,0.00739019340735172
"Lol_mul",0.022737523054509,0.00331300751104432,0.00367586594248016,0.0148878495953959
"Cir_arv",0.0117046204929881,0.00238740376258608,0.00260840870025867,0.007673756440982
"Lot_cor",0.00996187718768538,0.00153852791629321,0.00171608592103559,0.00656325919177958
"Ran_bul",0.00731384838507483,0.00116256411804142,0.00128242604326745,0.00479018142342546
"Tri_dub",0.0150935050251829,0.00258341433136335,0.00285794402930615,0.009934038601665
"Med_lup",0.0125013268862842,0.00240590480772122,0.00266080931645938,0.00824995442555115
"Leo_his",0.013695724411314,0.00272826810446313,0.00295909415621573,0.00891166061022229
"Car_car",0.00841261417770391,0.00116362550224171,0.00129590363310425,0.0055023527591169
"Vic_sep",0.00575642328034677,0.000897978578658005,0.000991894177722499,0.0037707805796225
"Pru_sp",0.00769590885215289,0.00142419798323637,0.00156654873779493,0.00505706737233068
